1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
,491331.169,441443.488,506609.5,385326.856,421795.233,330334.143,453062.077,266020.698,378924.992,,421376.141,383562.991,471926.558,505874.17,351771.365,517663.882,633629.148,543589.201,512290.883,531973.519,461259.497,255667.134,527541.054,265868.041,433635.695,460297.481,493561.752,477870.323,367697.565,520887.461,447262.824,587861.096,309530.288,450311.498,754642.636,562099.746,547991.057,480610.452,603942.958,414451.937,404679.094,567627.635,386095.774,395369.792,255931.659,413263.136,407060.686,492323.642
,494013.203,435138.52,495342.336,377240.633,403276.619,318043.706,446410.593,261786.428,382099.144,,426284.252,380876.365,463972.874,504925.546,351740.597,496924.214,632038.316,539249.852,507638.056,524400.666,459963.559,249615.674,525347.746,252987.295,425072.536,453306.439,491061.193,484315.01,365759.907,516999.584,448376.077,582924.927,307165.317,443502.427,752747.956,557178.189,551036.959,471608.447,591411.464,412464.291,403426.611,558574.003,379463.416,389837.819,246271.77,406006.146,391571.581,479201.681
,504142.398,413317.913,498781.868,368762.056,411349.656,310375.926,439924.741,261820.435,375705.408,,429849.519,378693.29,462221.05,495909.493,346022.809,489841.008,621421.547,536353.092,507218.847,518880.208,458408.498,243662.4,526026.982,243209.255,420762.493,449348.793,484496.316,487213.416,363475.107,513838.945,447728.884,575342.648,302734.836,439478.215,753573.79,553208.415,548608.909,467630.521,586206.937,411529.509,401151.036,548026.011,373768.526,387219.948,240375.617,398311.664,382240.172,475069.162
,500206.525,403394.496,494825.54,362543.931,407532.26,305160.067,427320.925,259021.972,359163.865,,429122.891,376183.017,464813.14,492978.027,340396.128,483317.808,611739.072,531135.158,504748.529,515208.75,456699.421,235363.532,523926.273,238581.041,414673.663,452934.796,480870.954,491096.699,357831.108,510713.262,450149.609,563089.066,297338.586,434153.606,752249.054,553548.243,542489.314,467172.741,579472.184,410510.409,398316.783,537413.741,370685.08,384785.898,234932.681,395889.864,367523.144,478584.85
,495856.025,401734.21,483389.543,355587.933,397376.942,294095.59,417610.459,247936.628,357264.113,,422878.634,370935.726,468781.719,486012.663,334954.102,471897.865,599132.405,529640.646,502139.073,511810.387,457364.287,229910.331,520229.81,233347.669,406081.444,454211.851,478411.219,488015.938,355813.578,507399.812,445953.676,551532.372,294309.506,427843.931,748632.36,553451.708,533728.235,467683.282,574422.416,407785.155,393098.343,536810.14,364586.345,380532.81,232558.422,391733.039,359035.342,479792.839
,487830.44,384045.168,483089.24,361807.635,402281.018,295138.753,411308.445,243827.193,361651.551,,412973.484,366023.686,465924.139,473930.33,326459.004,461821.684,588737.352,520236.958,496059.966,510365.551,457135.042,224479.654,519823.843,228067.197,404640.921,456355.632,476466.146,482085.517,354499.731,502958.23,444231.433,538944.217,291541.992,423151.407,742880.871,549138.746,523021.312,462084.174,577892.459,407955.91,386819.094,538681.188,357718.986,368691.565,232349.411,386967.502,356304.97,486241.193
,482057.023,379262.161,478342.614,362177.359,397066.031,295976.714,400408.854,243851.593,348253.604,,407581.995,357100.726,466824.363,459401.123,315615.076,456924.671,581592.084,518847.383,485396.385,507218.535,454243.742,220695.775,520727.541,226210.765,404751.193,457006.85,471664.876,474101.657,351205.996,500303.461,446979.471,533308.168,289646.603,420880.74,741645.095,530365.541,513119.584,457934.138,580057.019,408395.83,381612.223,529737.542,347591.309,357337.705,232418.969,377288.311,349119.748,485141.832
,480500.265,384054.891,464683.455,342587.568,381851.181,286239.48,397152.996,234833.166,338288.033,,401159.556,348611.531,463988.324,452967.691,311664.741,453727.498,580777.46,509720.165,474029.644,504630.869,453909.91,218655.432,516863.962,225570.177,398342.633,453298.567,463485.994,473268.583,346509.127,496617.245,448961.827,530231.516,286590.928,412461.737,738895.019,516047.877,506801.133,455032.742,572519.815,403885.697,381392.427,523662.281,338122.115,346320.115,224667.138,370701.397,337380.735,483404.983
,474583.008,370089.273,466015.619,338827.511,370903.569,281995.045,394672.847,224473.951,344391.659,,396425.599,342020.679,461009.405,455397.278,308135.593,450624.908,570277.953,505229.007,465927.089,497577.532,453422.234,216070.544,512855.105,220953.036,389643.345,448194.342,451661.934,471997.074,340382.972,492821.19,447059.889,528744.695,280573.377,405639.168,733882.184,505920.318,498239.969,451226.311,564687.99,399440.862,380928.175,517952.922,333163.205,335711.926,214444.151,350710.659,334124.562,480179.79
,467870.168,355927.091,468764.653,326327.208,367822.2,280432.061,381904.734,223827.956,330225.773,,397513.927,336469.644,452234.254,454760.027,300630.647,451862.105,551316.507,499479.522,464400.767,488697.346,451900.355,213409.387,512164.306,217421.492,381366.333,444468.359,443923.4,471786.276,339810.58,489517.906,443329.644,522028.875,273025.367,391050.641,730117.116,493573.443,491841.7,444337.362,555531.555,389790.596,376627.327,510760.272,332142.366,325882.317,204930.386,337594.653,327929.309,475967.295
,465915.618,357332.993,455461.897,302367.293,361623.354,272035.552,373504.892,217917.51,310125.446,,396018.37,330104.524,448415.049,455041.076,297555.186,451904.849,533240.249,494824.009,456507.168,478822.483,449665.763,208456.538,509935.694,211625.962,377657.279,438858.865,439094.535,472179.572,333306.294,489261.673,438443.089,515730.816,265848.731,373410.57,725293.025,485976.5,489397.565,442777.573,546944.902,380306.995,369979.326,503075.325,331408.963,323518.118,197522.108,325822.342,319453.396,468016.5
,468198.879,351151.416,448768.165,305359.774,349117.003,263763.058,368382.192,204926.069,304542.765,,383640.631,326966.586,443945.974,456142.071,293009.385,451623.211,518387.542,483394.679,455828.331,469683.98,448597.556,205948.492,506552.345,204737.081,375779.441,435093.387,441477.949,474572.108,321403.231,484686.791,434287.575,505494.271,257472.188,357890.681,718299.502,492405.638,488520.71,440809.172,535985.395,376069.659,366151.958,502874.889,331557.366,318444.56,187375.895,322016.455,313098.588,462174.283
,463604.945,351510.043,448486.368,306335.668,346427.019,262262.081,357252.648,205790.889,297635.702,,374769.257,323128.699,436076.915,453363.121,288109.321,445415.408,507098.015,476205.779,453416.489,461682.063,443132.962,202055.765,506852.425,194451.728,368205.699,436356.051,445818.899,469308.827,318338.189,481333.135,427206.883,498266.692,254581.327,349570.81,705522.912,496430.963,485267.266,433207.79,530757.052,370297.475,356235.525,497240.244,328757.819,315974.102,184753.578,314387.226,308405.481,
,464993.329,356186.046,438389.579,299064.306,345136.355,260439.49,359470.314,206808.574,294811.976,380930.702,367213.657,318348.036,432754.328,447223.405,281497.411,441699.412,506261.65,463810.636,453729.223,459912.516,437764.611,199939.924,506220.067,187123.701,367168.12,438648.47,447778.617,464522.727,316245.93,477519.02,422087.406,491533.696,255335.951,339913.376,694543.929,499111.33,486712.449,424856.838,525751.967,361096.916,343809.994,490100.328,321882.597,310693.646,187844.942,320520.18,296047.48,
,470267.748,344560.043,438466.737,297933.157,341058.582,252006.188,361021.218,204024.578,291270.963,383121.208,361049.552,315953.645,433419.4,437309.331,275762.127,436069.406,513381.739,450386.179,450322.138,459971.983,431234.23,196754.007,499157.912,178929.531,368944.404,438384.025,447371.874,460283.009,309159.37,474161.45,416248.743,486743.927,256170.972,338714.869,678218.64,509385.893,486935.085,418959.431,520392.289,357117.058,335464.816,482000.226,313845.322,305086.816,188550.73,320173.052,281937.624,
,458631.031,336767.666,443271.914,289911.183,336975.042,245851.177,351015.247,202988.557,291699.316,379572.041,356051.464,310507.075,431794.146,429101.631,268802.609,427857.123,516527.298,440811.768,452394.271,460201.016,427932.123,196216.33,489377.325,171048.492,367195.391,438680.315,440899.215,454988.388,305183.311,469320.214,413126.644,477215.895,256456.061,342079.361,664113.17,520225.751,483249.2,412418.991,516460.885,356157.382,330713.399,474895.926,305106.591,301502.752,187653.538,320047.334,267326.979,
,451563.846,326615.224,427502.495,279194.407,331719.972,245167.731,347454.475,193871.035,290860.272,376186.053,355488.912,306412.444,431672.279,426662.769,263886.103,418021.86,511135.076,431694.27,445240.686,459238.063,421412.13,193601.035,477042.816,166107.843,363718.939,438710.743,429370.069,452417.282,311581.24,465566.121,402558.153,471683.368,254413.562,344088.573,652192.484,525145.398,476728.751,403282.441,514179.26,352803.377,323378.818,464022.526,297184.044,297893.057,187602.397,314079.102,252191.659,
,449960.7,313809.188,417292.355,284320.44,327056.433,233895.457,337634.205,187046.288,286752.922,371745.541,354112.888,304003.546,435537.376,425022.172,260909.42,409821.381,501824.269,425616.864,436071.884,455533.078,417911.591,190262.998,462997.223,160531.95,366843.216,440888.591,422597.05,450885.851,309121.327,462220.177,395793.87,463480.963,252950.871,341462.112,645402.692,523312.938,473926.113,398487.729,515091.595,354873.9,320569.672,450564.426,290294.469,293872.758,185983.075,310009.84,236912.456,
,441056.002,307874.537,413806.494,284219.869,318000.356,222446.032,324498.484,175555.091,285547.122,367406.727,351124.8,302170.523,432813.79,417935.493,258027.491,399797.072,488698.096,420423.01,427292.963,450276.571,415320.828,186509.247,455664.021,155480.804,365017.073,439439.887,419236.272,447984.029,305695.083,458879.376,389046.971,448872.561,249966.58,339051.899,640595.782,518421.401,469295.05,391852.318,513772.823,359416.677,321858.219,440235.644,280578.938,286704.746,181959.798,302100.1,222978.659,
,441580.509,301157.787,401399.214,274842.125,310549.017,222226.49,322065.684,164104.343,280052.99,363451.025,344502.953,298964.367,427504.774,415585.122,257495.072,391492.46,474746.749,411578.087,415775.951,440806.68,412686.241,183960.552,455727.214,154882.31,360115.966,435479.137,416796.076,445138.537,299590.695,449079.915,387961.457,439568.936,240776.189,334755.437,642002.732,511356.908,460070.782,385978.695,512255.085,361391.345,323330.757,429398.949,275553.689,279581.026,178675.762,297276.922,217759.649,
,444691.966,293633.514,399497.354,275329.57,300212.366,216569.158,317596.874,166197.305,273801.474,361838.568,338129.733,298348.157,414257.72,414849.858,258710.327,387466.16,468738.831,408800.544,408114.399,431338.139,408277.447,181274.491,456700.001,155247.747,355651.871,426373.768,418229.93,445520.395,295604.25,437580.519,378848.677,432303.734,232711.789,326059.333,642998.632,501200.743,452414.08,376621.184,510147.293,360343.682,323068.453,420533.331,269595.603,273036.344,171845.307,289503.58,223131.606,
,438316.0,287295.1,401264.202,266488.027,289713.634,222448.04,311675.573,161477.962,270046.863,357628.574,328857.981,294924.999,401906.287,405795.808,260111.835,383895.945,465894.74,406320.337,402071.786,423202.341,404729.82,181127.802,453650.358,153480.361,352529.199,415519.663,418948.967,437432.81,286938.898,428287.579,375231.312,427936.241,222557.188,314558.305,644462.34,493805.608,446937.021,370477.478,505991.825,356008.164,324040.251,409955.212,261276.744,270097.896,164588.738,280877.749,226762.43,
